Date,Time,Total Rainfall,Dry bulb,Wet bulb,Humidity,Wind speed,datetime,log_rainfall,hour,rain_category,rain_label,date,month,day,year,dayofweek,dayofyear,hour_sin,hour_cos,month_sin,month_cos,rainfall_lag_1,humidity_lag_1,drybulb_lag_1,rainfall_lag_2,humidity_lag_2,drybulb_lag_2,rainfall_lag_3,humidity_lag_3,drybulb_lag_3,rainfall_roll_3h,humidity_roll_3h,drybulb_roll_3h
3/1/2023,14:00,0.0,26.5,20.2,55.0,4,2023-03-01 14:00:00,0.0,14,0,No Rain,2023-03-01,3,1,2023,2,60,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,0.0,55.0,26.2,0.0,65.0,25.0,0.0,70.0,23.5,0.0,58.333333333333336,25.900000000000002
3/1/2023,15:00,0.0,27.4,20.6,53.0,6,2023-03-01 15:00:00,0.0,15,0,No Rain,2023-03-01,3,1,2023,2,60,-0.9848077530122081,0.17364817766692997,0.8660254037844386,0.5000000000000001,0.0,55.0,26.5,0.0,55.0,26.2,0.0,65.0,25.0,0.0,54.333333333333336,26.7
3/1/2023,16:00,0.0,27.0,20.5,54.0,4,2023-03-01 16:00:00,0.0,16,0,No Rain,2023-03-01,3,1,2023,2,60,-0.6427876096865396,0.7660444431189778,0.8660254037844386,0.5000000000000001,0.0,53.0,27.4,0.0,55.0,26.5,0.0,55.0,26.2,0.0,54.0,26.966666666666665
3/2/2023,8:00,83.3,19.8,18.4,88.0,0,2023-03-02 08:00:00,4.4343818650078095,8,3,Heavy Rain,2023-03-02,3,2,2023,3,61,0.0,1.0,0.8660254037844386,0.5000000000000001,0.0,54.0,27.0,0.0,53.0,27.4,0.0,55.0,26.5,27.766666666666666,65.0,24.73333333333333
3/2/2023,9:00,83.3,20.5,18.5,83.0,2,2023-03-02 09:00:00,4.4343818650078095,9,3,Heavy Rain,2023-03-02,3,2,2023,3,61,0.6427876096865393,0.766044443118978,0.8660254037844386,0.5000000000000001,83.3,88.0,19.8,0.0,54.0,27.0,0.0,53.0,27.4,55.53333333333333,75.0,22.433333333333337
3/2/2023,10:00,83.3,24.4,20.2,68.0,4,2023-03-02 10:00:00,4.4343818650078095,10,3,Heavy Rain,2023-03-02,3,2,2023,3,61,0.984807753012208,0.17364817766693041,0.8660254037844386,0.5000000000000001,83.3,83.0,20.5,83.3,88.0,19.8,0.0,54.0,27.0,83.3,79.66666666666667,21.566666666666666
3/2/2023,11:00,83.3,25.4,20.4,62.0,4,2023-03-02 11:00:00,4.4343818650078095,11,3,Heavy Rain,2023-03-02,3,2,2023,3,61,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,83.3,68.0,24.4,83.3,83.0,20.5,83.3,88.0,19.8,83.3,71.0,23.433333333333334
3/2/2023,12:00,83.3,25.5,21.0,66.0,6,2023-03-02 12:00:00,4.4343818650078095,12,3,Heavy Rain,2023-03-02,3,2,2023,3,61,0.3420201433256689,-0.9396926207859083,0.8660254037844386,0.5000000000000001,83.3,62.0,25.4,83.3,68.0,24.4,83.3,83.0,20.5,83.3,65.33333333333333,25.099999999999998
3/2/2023,13:00,83.3,26.0,21.0,63.0,6,2023-03-02 13:00:00,4.4343818650078095,13,3,Heavy Rain,2023-03-02,3,2,2023,3,61,-0.34202014332566866,-0.9396926207859084,0.8660254037844386,0.5000000000000001,83.3,66.0,25.5,83.3,62.0,25.4,83.3,68.0,24.4,83.3,63.666666666666664,25.633333333333336
3/2/2023,14:00,83.3,26.4,21.0,61.0,4,2023-03-02 14:00:00,4.4343818650078095,14,3,Heavy Rain,2023-03-02,3,2,2023,3,61,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,83.3,63.0,26.0,83.3,66.0,25.5,83.3,62.0,25.4,83.3,63.333333333333336,25.96666666666667
3/2/2023,15:00,83.3,27.0,21.0,58.0,4,2023-03-02 15:00:00,4.4343818650078095,15,3,Heavy Rain,2023-03-02,3,2,2023,3,61,-0.9848077530122081,0.17364817766692997,0.8660254037844386,0.5000000000000001,83.3,61.0,26.4,83.3,63.0,26.0,83.3,66.0,25.5,83.3,60.666666666666664,26.46666666666667
3/2/2023,16:00,83.3,26.0,20.6,60.0,4,2023-03-02 16:00:00,4.4343818650078095,16,3,Heavy Rain,2023-03-02,3,2,2023,3,61,-0.6427876096865396,0.7660444431189778,0.8660254037844386,0.5000000000000001,83.3,58.0,27.0,83.3,61.0,26.4,83.3,63.0,26.0,83.3,59.666666666666664,26.46666666666667
